date,1d_open,1d_high,1d_low,1d_close,1d_volume,Close,High,Low,Open,Volume
2011-06-08 00:00:00+00:00,28.44,28.6,27.02,27.12,1695900,1.808,1.9066666667,1.8013333333,1.896,25438500
2011-06-09 00:00:00+00:00,27.43,28.1,27.1,27.62,1603200,1.8413333333,1.8733333333,1.8066666667,1.8286666667,24048000
2011-06-10 00:00:00+00:00,27.52,28.2991,27.35,27.86,1566600,1.8573333333,1.8866066667,1.8233333333,1.8346666667,23499000
2011-06-13 00:00:00+00:00,28.07,28.88,27.88,28.43,1713400,1.8953333333,1.9253333333,1.8586666667,1.8713333333,25701000
2011-06-14 00:00:00+00:00,28.54,29.7,28.52,28.6,1573400,1.9066666667,1.98,1.9013333333,1.9026666667,23601000
2011-06-15 00:00:00+00:00,28.44,28.45,27.07,27.32,1345000,1.8213333333,1.8966666667,1.8046666667,1.896,20175000
2011-06-16 00:00:00+00:00,27.67,28.0,25.74,26.5,1842200,1.7666666667,1.8666666667,1.716,1.8446666667,27633000
2011-06-17 00:00:00+00:00,26.87,27.7,26.14,26.5,1714000,1.7666666667,1.8466666667,1.7426666667,1.7913333333,25710000
2011-06-20 00:00:00+00:00,26.29,26.46,25.5,26.01,1537800,1.734,1.764,1.7,1.7526666667,23067000
2011-06-21 00:00:00+00:00,26.24,27.73,26.0,27.53,1496000,1.8353333333,1.8486666667,1.7333333333,1.7493333333,22440000
2011-06-22 00:00:00+00:00,27.37,28.25,27.1,27.21,1475600,1.814,1.8833333333,1.8066666667,1.8246666667,22134000
2011-06-23 00:00:00+00:00,27.2,27.72,26.21,27.71,1170000,1.8473333333,1.848,1.7473333333,1.8133333333,17550000
2011-06-24 00:00:00+00:00,27.64,27.97,27.26,27.565,3608500,1.8376666667,1.8646666667,1.8173333333,1.8426666667,54127500
2011-06-27 00:00:00+00:00,27.73,28.28,27.31,27.46,1809400,1.8306666667,1.8853333333,1.8206666667,1.8486666667,27141000
2011-06-28 00:00:00+00:00,27.79,28.25,27.67,28.11,889200,1.874,1.8833333333,1.8446666667,1.8526666667,13338000
2011-06-29 00:00:00+00:00,28.5,29.09,28.07,28.29,1461800,1.886,1.9393333333,1.8713333333,1.9,21927000
2011-06-30 00:00:00+00:00,28.5,29.33,28.4,29.13,946700,1.942,1.9553333333,1.8933333333,1.9,14200500
2011-07-01 00:00:00+00:00,29.07,29.6,28.8,29.02,854900,1.9346666667,1.9733333333,1.92,1.938,12823500
2011-07-05 00:00:00+00:00,29.02,29.52,28.71,29.14,996000,1.9426666667,1.968,1.914,1.9346666667,14940000
2011-07-06 00:00:00+00:00,29.14,29.14,28.55,28.96,926900,1.9306666667,1.9426666667,1.9033333333,1.9426666667,13903500
